epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.861856735343933,1.5627298759460448,60.81,85.12
1,1.7732469562911988,1.4600644739151,62.66,86.86
2,1.6868881582260131,1.3833504539489747,63.55,88.19
3,1.6395494813156128,1.3595769016265868,64.24,88.15
4,1.6144024264907837,1.31847708568573,65.24,88.7
5,1.583826609802246,1.3137714292526246,65.32,88.85
6,1.5755811117935181,1.3040050523757936,65.71,89.11
7,1.5617865162277222,1.3165321411132813,65.1,88.72
8,1.544479462890625,1.2892992681503297,66.04,89.54
9,1.537400673828125,1.2880215530395507,66.12,89.19
10,1.5322759758758544,1.2870767152786255,66.06,89.3
11,1.5301896366500853,1.2813146852493287,66.25,89.2
12,1.523364755935669,1.2732616750717163,66.44,89.42
13,1.52501144405365,1.2652999151229858,66.23,89.54
14,1.5131295885848999,1.2764583515167236,66.09,89.28
15,1.5081579593276977,1.277849644088745,66.19,89.4
16,1.5056923880767823,1.2655735866546631,66.1,89.32
17,1.5020243896865846,1.2675744411468506,66.21,89.35
18,1.500086462173462,1.260193204498291,66.5,89.69
19,1.502591162223816,1.2640453756332397,66.79,89.12
20,1.4933804154968262,1.2665655698776246,66.47,89.08
21,1.4919697476577758,1.2626811140060425,66.46,89.6
22,1.4880479307174683,1.2557207027435302,67.02,89.84
23,1.4950042556381224,1.2620298114776611,66.47,89.72
24,1.4921706154632568,1.272202786064148,66.05,89.35
25,1.4831409104156494,1.269048497390747,66.12,89.51
26,1.485461195640564,1.2625932510375977,66.35,89.27
27,1.4826809243392944,1.2637144062042236,66.6,89.23
28,1.4814487784194947,1.266410643005371,66.38,89.38
29,1.479839946861267,1.2573917798995973,66.71,89.7
30,1.4765051525878907,1.2616837333679198,66.28,89.53
31,1.476579497947693,1.2489105251312256,66.67,89.58
32,1.4749095273590087,1.2566918523788453,66.58,89.69
33,1.466628723716736,1.2548565404891967,66.78,89.58
34,1.469809591064453,1.245803487586975,66.72,89.86
35,1.4641959615707398,1.2474631669998169,66.67,89.83
36,1.4641246337890625,1.2504727170944214,67.05,89.88
37,1.4590535243225098,1.2446940349578857,66.67,90.01
38,1.4621714191818238,1.2448113288879394,67.06,90.03
39,1.4467732940673828,1.2476250738143921,66.88,89.49
40,1.4494391624450684,1.2396024215698243,67.08,89.58
41,1.450008193244934,1.239381805229187,67.43,89.67
42,1.4492460629653932,1.2386991722106933,67.14,89.73
43,1.4433008749008178,1.2404396396636963,66.91,89.98
44,1.4431433700561525,1.2369175037384033,67.29,89.84
45,1.4441122712326049,1.2404176364898682,67.05,89.83
46,1.4455568006515502,1.2389327213287353,67.28,89.98
47,1.4478523538589478,1.251376219367981,67.06,89.61
48,1.450552350769043,1.2393600412368775,66.94,89.7
49,1.4454099185180664,1.236104700088501,66.95,89.9
50,1.444424243888855,1.2350454206466674,66.9,89.84
51,1.4456529655456543,1.232714831161499,66.83,89.94
52,1.4453827670288086,1.2235799718856812,67.08,90.25
53,1.442644193687439,1.2504935115814209,67.11,89.56
54,1.4479124367904663,1.2394854879379273,67.3,89.52
55,1.4467017948913574,1.2325406198501587,67.35,90.03
56,1.4425890774536132,1.2355819049835206,67.03,90.04
57,1.4423383782577515,1.2424517261505128,67.29,89.94
58,1.4415564082717895,1.224686289024353,67.76,89.7
59,1.4439865424728393,1.2460413776397705,67.14,89.96
60,1.4405337244796752,1.2394988952636719,67.11,90.05
61,1.443565179824829,1.2361134225845336,67.13,89.82
62,1.445264134902954,1.2397882890701295,67.17,89.71
63,1.4388402458572387,1.2311691173553467,67.39,90.3
64,1.445675937538147,1.2396960500717162,67.31,89.55
65,1.4421505505752563,1.2458631246566771,67.01,89.92
66,1.4402584991073608,1.2453118606567384,66.72,89.91
67,1.4428694452285766,1.2492745775222778,66.93,89.84
68,1.4436852439498902,1.2375840915679932,67.24,90.15
69,1.4417702097702025,1.237884859085083,66.92,89.77
70,1.4410738289642333,1.2358410371780395,67.09,90.13
71,1.441271353187561,1.2413992469787598,67.17,89.7
72,1.4457466125106813,1.2261750898361206,67.1,89.93
73,1.4392795666885376,1.2528616220474242,67.08,89.64
74,1.4458722146987915,1.239414023590088,67.22,89.72
75,1.4430686998748778,1.233096071434021,67.52,89.9
76,1.4452360247039795,1.234577960586548,67.01,90.01
77,1.4426468850326537,1.245397124862671,66.87,89.95
78,1.4404665452194214,1.2362596956253051,67.0,90.07
79,1.4398216291046142,1.2420043588638305,67.15,89.97
80,1.4386265167617798,1.2288372980117799,67.09,90.12
81,1.4412926611328125,1.240639003753662,67.01,89.8
82,1.4403815287017823,1.2365793003082275,67.43,89.88
83,1.4391111738967894,1.2426754661560058,67.37,89.73
84,1.4358040334320068,1.2397982696533203,67.05,89.97
85,1.4386683012390136,1.2301619922637939,66.89,89.96
86,1.4365074645614624,1.2415245845794678,66.78,89.93
87,1.4373427151107787,1.2376518276214599,67.33,89.97
88,1.4363774271774292,1.243011722755432,67.02,89.89
89,1.4365782192993164,1.2320922580718994,67.6,89.92
90,1.4381214217758178,1.2482904661178589,66.95,89.75
91,1.438158869934082,1.2347584115982055,67.06,89.99
92,1.4389800689315795,1.2347373561859132,67.21,89.65
93,1.4387779881286622,1.2374419410705566,67.11,89.82
94,1.4408990807723998,1.2347694355010985,67.2,89.93
95,1.4394386318588257,1.2335897619247436,67.18,90.06
96,1.4364821493148803,1.2375531145095826,67.24,90.03
97,1.441138907470703,1.2404845081329345,66.76,89.97
98,1.4416597104644775,1.2335086536407471,66.85,89.86
99,1.4390522594070434,1.2400415977478028,67.21,89.93
